"","MasterID","county","huc","smcshed","smc_lu","COMID","psa6c","strcls","lower","meds","upper","csci_sampledate","CSCI","yr","h_asci_max","ASCI","TN","total_n_rep_calc","TP","total_p_rep_calc","Cond","IPI","ev_flowhab","Ev_FlowHab","h_aqhab","H_AqHab","h_subnat","H_SubNat","pct_safn","PCT_SAFN","pct_safn_pred","xcmg","XCMG","xcmg_pred","pct_rc","indexscore_cram","bs","blc","hy","ps","psa2","missing_habitat","missing_chemistry","missing_cram","data_complete","filled_columns","Ev_FlowHab_raw","H_AqHab_raw","H_SubNat_raw","PCT_SAFN_raw","XCMG_raw","cnty","SMC_Name","RBNAME","geometry","pChem","pHab","pChemHab","BiologicalCondition","WaterChemistryCondition","HabitatCondition","OverallStressCondition","OverallStressCondition_detail","StreamHealthIndex","all_there"
"11","907S00577","San Diego",907,"Mission Bay and San Diego River","Open","20329834","SC","possibly unconstrained",0.40005242,0.80606168,1.09444866,2021-06-01,0.91451382,2021,NA,"0.747908841281845",0.24,0.24,0.006675,NA,603,1.02,0.45,0.46,1.55,0.83,1.83,0.96,36,0.86,40.99,129,0.76,126.06,0,85,80.56,100,83.33,75,"Arid","NO","NO","NO","YES","",0.45,1.55,1.83,36,129,"San Diego","Mission Bay and San Diego River","San Diego",c(-116.67502, 33.07673),0.251289798887812,0.444999008304722,0.584465095890365,"Impacted for ASCI","Moderate","Moderate","Moderate","Low stress","Impacted by unknown stress",TRUE
"12","907S01418","San Diego",907,"Mission Bay and San Diego River","Open","20332438","SC","possibly unconstrained",0.60019065,0.94303748,1.25621453,2021-05-27,1.04368813,2021,NA,"1.11558909157474",0.23,0.23,0.00312,NA,389,0.84,0.47,0.48,1.6,0.86,1.41,0.74,17,1,39.32,48,0.36,113.9,0,77,55.56,100,91.67,62.5,"Arid","NO","NO","NO","YES","",0.47,1.6,1.41,17,48,"San Diego","Mission Bay and San Diego River","San Diego",c(-116.71771, 32.99254),0.13222981143417,0.290664607300243,0.384459892520515,"Healthy","Moderate","Moderate","Moderate","Low stress","Healthy and unstressed",TRUE
"13","403M01619","Ventura",403,"Santa Clara","Open","17567911","SC","possibly unconstrained",0.64084245,0.9618165,1.10701914,2021-05-25,0.6893958,2021,"0.946777643045194","1.00069700311362",0,0,0.0041,NA,1435,0.91,0.5,0.51,1.38,0.69,1.98,1,32,0.79,31.47,80,0.58,108.42,0,81,72.22,90.29,100,62.5,"Arid","NO","NO","NO","YES","",0.5,1.38,1.98,32,80,"Ventura","Santa Clara","Los Angeles",c(-119.26634, 34.55945),0.569732754014301,0.200706922386523,0.656090368759816,"Impacted for CSCI","Moderate","Moderate","Moderate","Low stress","Impacted by unknown stress",TRUE
"14","402M00138","Ventura",402,"Ventura","Open","17586616","SC","possibly unconstrained",0.60675858,0.81810387,1.03762772,2021-05-20,0.90096981,2021,"0.946929495490909","1.02482451149967",0.16,0.16,0.0015,NA,1007,0.96,0.95,1,1.64,0.87,1.78,0.94,18,0.84,21.42,48,0.37,113.54,0,69,44.44,93.29,75,62.5,"Arid","NO","NO","NO","YES","",0.95,1.64,1.78,18,48,"Ventura","Ventura","Los Angeles",c(-119.28781, 34.45289),0.35274421691379,0.767314920846283,0.849393236879884,"Healthy","Moderate","Moderate","Moderate","Low stress","Healthy and unstressed",TRUE
"15","402M00157","Ventura",402,"Ventura","Urban","17586848","SC","possibly unconstrained",0.53174479,0.82289143,1.02669758,2021-05-19,0.69449645,2021,"0.568793683194191","0.514205447260306",1.2,1.2,0.0062,NA,1113,1.04,0.57,0.59,1.83,1,1.85,0.97,44,0.83,46.76,83,0.68,94.33,0,71,63.89,90.29,66.67,62.5,"Arid","NO","NO","NO","YES","",0.57,1.83,1.85,44,83,"Ventura","Ventura","Los Angeles",c(-119.30793, 34.37646),0.656398097110668,0.832113605992017,0.942313915549629,"Impacted for CSCI and ASCI","Moderate","Moderate","Severe","Stressed by low levels of chemistry or habitat degradation","Impacted and stressed",TRUE
"16","801M12940","Orange",801,"Lower Santa Ana","SMC_out","20359256","SC",NA,-999999,-999999,-999999,2021-05-17,0.36414637,2021,"0.735448544393151","0.906560488382331",5.797,5.797,0.0688,0.0688,962,0.46,0.63,0.65,1.46,0.8,0.57,0.3,94,0.24,50.08,7,0.04,128.08,0,53,41.67,73.25,58.33,37.5,"Arid","NO","NO","NO","YES","",0.63,1.46,0.57,94,7,"Orange","Lower Santa Ana","Santa Ana",c(-118.0434, 33.76151),0.928083727959909,0.993741884522468,0.999549939664859,"Impacted for CSCI","Severe","Severe","Severe","Stressed by chemistry and habitat degradation","Impacted and stressed",TRUE
"17","801M12712","Orange",801,"Lower Santa Ana","SMC_out","22527379","SC",NA,-999999,-999999,-999999,2021-05-06,0.561713,2021,"0.477359498964691","0.576793968167545",3.166,3.166,0.0933,0.0933,3482.5,0.36,0.92,0.97,0.44,0.21,0.64,0.34,3,0.14,48.21,4,0,138.57,97,25,25,25,25,25,"Arid","NO","NO","NO","YES","",0.92,0.44,0.64,3,4,"Orange","Lower Santa Ana","Santa Ana",c(-117.80569, 33.87178),0.999844135928332,0.999827301895567,0.99999997308257,"Impacted for CSCI and ASCI","Severe","Severe","Severe","Stressed by chemistry and habitat degradation","Impacted and stressed",TRUE
"18","901M14155","Orange",901,"San Juan","Urban","20348363","SC","likely constrained",0.38018786,0.57374561,0.72985285,2021-04-27,0.6887478,2021,"0.728814039234988","0.743486545409741",0.786333333333333,0.942000000000001,0.08445,0.08445,935,1.02,1,1,1.68,0.840000000000002,1.72,0.909999999999998,32,0.829999999999999,34.94,98,0.54,132.84,0,75,75,86.42,75,62.5,"Arid","NO","NO","NO","YES","",1,1.68,1.72,32,98,"Orange","San Juan","San Diego",c(-117.60683, 33.62138),0.874663427428909,0.728272340263836,0.965942586455905,"Impacted for CSCI and ASCI","Moderate","Moderate","Severe","Stressed by low levels of chemistry or habitat degradation","Impacted and stressed",TRUE
"19","901S00531","Orange",901,"San Juan","Open","20348625","SC","possibly constrained",0.36801277,0.5040012,0.80629037,2021-04-27,0.39622442,2021,"0.5928677898277","0.615305731775806",0.521,0.521,0.0422,0.0422,1920,0.06,0,0,0,0.04,0,0,1,0.25,56.45,8,0,136.89,99,31,33.33,25,41.67,25,"Arid","NO","NO","NO","YES","",0,0,0,1,8,"Orange","San Juan","San Diego",c(-117.772, 33.55975),0.972752953725578,0.99878749618066,0.999966962852327,"Impacted for CSCI and ASCI","Severe","Severe","Severe","Stressed by chemistry and habitat degradation","Impacted and stressed",TRUE
"20","801M12708","Orange",801,"Lower Santa Ana","Open","22525681","SC","possibly unconstrained",0.4407873,0.87057163,1.11171881,2021-04-26,0.76613501,2021,"0.618899815109752","0.803782030848569",0.289,0.289,0.0762,0.0762,2215,0.79,0.93,0.98,1.55,0.79,0.87,0.46,96,0,24.87,123,0.7,131.55,0,75,77.78,87.5,83.33,50,"Arid","NO","NO","NO","YES","",0.93,1.55,0.87,96,123,"Orange","Lower Santa Ana","Santa Ana",c(-117.79273, 33.93558),0.990499269085472,0.919253736345763,0.999232851476668,"Impacted for CSCI and ASCI","Severe","Severe","Severe","Stressed by chemistry and habitat degradation","Impacted and stressed",TRUE
"21","910M24979","San Diego",910,"Southern San Diego","Open","20333704","SC","possibly unconstrained",0.54497744,0.81722244,1.04250498,2021-04-22,0.66146495,2021,NA,"0.537491136607395",1.3,1.3,0,NA,2849,0.61,0.05,0.03,0.79,0.48,1.64,0.86,45,0.89,52.75,59,0.27,141.22,0,81,72,92,81,75,"Arid","NO","NO","YES","YES","cram_score,cram_bioticstructure,cram_bufferandladscapecontext,cram_hydrology,cram_physicalstructure",0.05,0.79,1.64,45,59,"San Diego","Southern San Diego","San Diego",c(-116.93745, 32.59945),0.987856109025262,0.6456141156852,0.995696376457895,"Impacted for CSCI and ASCI","Severe","Moderate","Severe","Stressed by chemistry degradation","Impacted and stressed",TRUE
"22","412M08655","Los Angeles",412,"Los Angeles","Open","22514620","SC","possibly unconstrained",0.64129498,0.87982402,1.14472765,2020-07-28,1.16428126,2020,"0.557416355151703","0.566977969296805",0.24,0.24,0.12,0.12,470.2,1.05,0.42,0.43,1.67,0.89,2.02,1,23,0.73,17.94,127,0.88,103.7,0,85,88.89,93.29,83.33,75,"Arid","NO","NO","NO","YES","",0.42,1.67,2.02,23,127,"Los Angeles","Los Angeles","Los Angeles",c(-118.21685, 34.27576),0.684370433321117,0.500014703542477,0.842189857533299,"Impacted for ASCI","Moderate","Moderate","Moderate","Low stress","Impacted by unknown stress",TRUE
"23","404R4S036","Los Angeles",404,"Santa Monica Bay","Open","20365093","SC","possibly constrained",0.42070088,0.70171617,0.99348299,2020-07-21,0.69854678,2020,"0.343249322943614","0.356580442074556",1.19,1.19,0.1255,0.1255,2232.5,1.01,0.8,0.84,1.57,0.8,1.71,0.9,38,0.63,24.86,116,0.72,121.37,0,83,80.56,90.29,75,87.5,"Arid","NO","NO","NO","YES","",0.8,1.57,1.71,38,116,"Los Angeles","Santa Monica Bay","Los Angeles",c(-118.70737, 34.06522),0.996464133350613,0.791212282246667,0.999261754471995,"Impacted for CSCI and ASCI","Severe","Moderate","Severe","Stressed by chemistry degradation","Impacted and stressed",TRUE
"24","412M08658","Los Angeles",412,"Los Angeles","Urban","22515822","SC","possibly constrained",0.25625083,0.49574805,0.93762465,2020-07-20,0.67937258,2020,"0.605131085088646","0.538588092231029",6.29,6.29,0.04,0.04,1138,0.19,0.29,0.29,0.34,0.16,0,0,0,0.07,42.12,4,0.19,100.25,100,41,33.33,62.5,41.67,25,"Arid","NO","NO","NO","YES","",0.29,0.34,0,0,4,"Los Angeles","Los Angeles","Los Angeles",c(-118.2206, 34.08329),0.926460440651422,0.9990765963141,0.999932093299838,"Impacted for CSCI and ASCI","Severe","Severe","Severe","Stressed by chemistry and habitat degradation","Impacted and stressed",TRUE
"25","412M08659","Los Angeles",412,"Los Angeles","Urban","22518268","SC","likely constrained",0.223092,0.38697388,0.65051837,2020-07-20,0.59525555,2020,"0.486535735272556","0.485830348116098",2.96,3.94,0.085,0.085,969,0.24,0.29,0.29,0.29,0.21,0,0,4,0.12,46.29,5,0.23,93.38,96,38,25,67.67,33.33,25,"Arid","NO","NO","NO","YES","",0.29,0.29,0,4,5,"Los Angeles","Los Angeles","Los Angeles",c(-118.17479, 33.93942),0.925337847059284,0.999496010855407,0.999962371085406,"Impacted for CSCI and ASCI","Severe","Severe","Severe","Stressed by chemistry and habitat degradation","Impacted and stressed",TRUE
"26","404R4S016","Los Angeles",404,"Santa Monica Bay","Open","20364973","SC","possibly unconstrained",0.55912175,0.92961901,1.1251853,2020-07-15,0.55495979,2020,"0.785951550752541","0.792641785656082",1.09,1.09,0.014,0.014,1836.2,1.07,0.87,0.91,1.75,0.82,1.9,1,32,0.6,16.55,139,0.77,135.25,0,84,83.33,100,66.67,87.5,"Arid","NO","NO","NO","YES","",0.87,1.75,1.9,32,139,"Los Angeles","Santa Monica Bay","Los Angeles",c(-118.67675, 34.09268),0.942501769108685,0.896809789257367,0.994066745436997,"Impacted for CSCI and ASCI","Severe","Moderate","Severe","Stressed by chemistry degradation","Impacted and stressed",TRUE
"27","412M08656","Los Angeles",412,"Los Angeles","Urban","22515812","SC","likely constrained",0.28520003,0.47172623,0.72370758,2020-07-14,0.73577701,2020,"0.409301565946247","0.356592581647117",6.99,8.41,0.09,0.09,850,0.33,0.45,0.46,0,0,0.95,0.5,4,0.15,48.21,0,0.19,94.99,95,36,25,62.5,33.33,25,"Arid","NO","NO","NO","YES","",0.45,0,0.95,4,0,"Los Angeles","Los Angeles","Los Angeles",c(-118.39651, 34.14554),0.93153254499201,0.999478685474538,0.999964306921183,"Impacted for CSCI and ASCI","Severe","Severe","Severe","Stressed by chemistry and habitat degradation","Impacted and stressed",TRUE
"28","SMC01208","Los Angeles",412,"Los Angeles","Urban","22514892","SC","likely constrained",0.27798533,0.47172623,0.75994874,2020-07-14,0.46222302,2020,"0.753241460888771","0.714588596059273",5.24,5.24,0.045,0.09,1614,0.12,0,0,0,0,0.21,0.11,18,0.15,48.66,0,0.15,101.92,82,38,25,67.67,33.33,25,"Arid","NO","NO","NO","YES","",0,0,0.21,18,0,"Los Angeles","Los Angeles","Los Angeles",c(-118.5365, 34.19015),0.97649133863021,0.999506971549809,0.999988409561119,"Impacted for CSCI and ASCI","Severe","Severe","Severe","Stressed by chemistry and habitat degradation","Impacted and stressed",TRUE
"29","404R4S041","Ventura",404,"Santa Monica Bay","SMC_out","20364671","SC","possibly constrained",0.40876077,0.57374561,0.87806861,2020-07-14,0.56958711,2020,"0.304300462109409","0.362202451520251",1.56,1.56,0.127,0.127,3410.2,0.6,0.42,0.43,1.44,0.68,0.69,0.36,84,0.08,27.01,114,0.6,138.74,0,69,66.67,58.54,75,75,"Arid","NO","NO","NO","YES","",0.42,1.44,0.69,84,114,"Ventura","Santa Monica Bay","Los Angeles",c(-118.78804, 34.18746),0.999820649682427,0.958629265389904,0.999992580145609,"Impacted for CSCI and ASCI","Severe","Severe","Severe","Stressed by chemistry and habitat degradation","Impacted and stressed",TRUE
"30","903M20312","San Diego",903,"Northern San Diego","Agricultural","20341721","SC","possibly constrained",0.42275284,0.65222834,0.85346337,2020-07-14,0.71245303,2020,"0.534745829","0.610447407",0.36,0.36,0.054,0.058,2612,1.03,0.29,0.29,1.35,0.69,1.51,0.79,46,0.92,55.93,194,1,141.49,0,74,58.33,86.42,75,75,"Arid","NO","NO","NO","YES","",0.29,1.35,1.51,46,194,"San Diego","Northern San Diego","San Diego",c(-117.21494, 33.26017),0.995339023953806,0.51876846228394,0.997756991330032,"Impacted for CSCI and ASCI","Severe","Moderate","Severe","Stressed by chemistry degradation","Impacted and stressed",TRUE
"31","403M01625","Ventura",403,"Santa Clara","Open","17569923","SC","possibly unconstrained",0.34999173,1.00810602,1.0606766,2020-06-30,0.95499837,2020,"1.049745116","1.063248205",0,0,0.019,0.019,818,1.09,0.65,0.68,1.83,1,1.83,0.96,35,0.71,28.28,96,0.81,84.56,0,89,80.56,100,100,75,"Arid","NO","NO","NO","YES","",0.65,1.83,1.83,35,96,"Ventura","Santa Clara","Los Angeles",c(-118.77994, 34.57002),0.387903051496607,0.187886556181487,0.502907839200106,"Healthy","Moderate","Moderate","Moderate","Low stress","Healthy and unstressed",TRUE
"32","404M07380","Los Angeles",404,"Santa Monica Bay","Urban","20364891","SC","likely constrained",0.34620404,0.5526595,0.73990405,2020-06-30,0.86130459,2020,"0.441746637","0.443636473",1.95,1.95,0.137,0.145,3136,1.17,0.77,0.81,1.93,0.969999999999999,1.89,0.99,25,1,45.16,132,0.78,127.11,1,73,75,96.54,58.33,62.5,"Arid","NO","NO","NO","YES","",0.77,1.93,1.89,25,132,"Los Angeles","Santa Monica Bay","Los Angeles",c(-118.70899, 34.12069),0.999700931509021,0.853755619972766,0.999956262913951,"Impacted for ASCI","Severe","Moderate","Severe","Stressed by chemistry degradation","Impacted and stressed",TRUE
"33","404M07384","Los Angeles",404,"Santa Monica Bay","SMC_out","20364781","SC","likely constrained",0.33382391,0.57374561,0.72985285,2020-06-30,0.47853415,2020,"0.644722906","0.636089277",1.572,2.4,0.5,0.5,2642,0.3,0.96,1,0.58,0.2,0,0,0,0,30.08,24,0.09,137.18,100,30,27.78,25,41.67,25,"Arid","NO","NO","NO","YES","",0.96,0.58,0,0,24,"Los Angeles","Santa Monica Bay","Los Angeles",c(-118.80902, 34.14304),0.999712944280581,0.999348249633065,0.99999981291133,"Impacted for CSCI and ASCI","Severe","Severe","Severe","Stressed by chemistry and habitat degradation","Impacted and stressed",TRUE
"34","408M03175","Ventura",408,"Calleguas","Agricultural","17562598","SC","likely constrained",0.38988756,0.67864889,0.74043092,2020-06-25,0.39116421,2020,"0.197843888","0.335116695",8.1,8.1,4.5,4.5,1752,0.88,0.68,0.71,1.58,0.77,1.89,0.99,44,0.85,48.7,67,0.34,137.15,0,62,63.89,75,58.33,50,"Arid","NO","NO","NO","YES","",0.68,1.58,1.89,44,67,"Ventura","Calleguas","Los Angeles",c(-119.00424, 34.19165),0.999867690149764,0.944090427125166,0.999992602612786,"Impacted for CSCI and ASCI","Severe","Severe","Severe","Stressed by chemistry and habitat degradation","Impacted and stressed",TRUE
"35","907M23408","San Diego",907,"Mission Bay and San Diego River","Urban","20331516","SC","likely constrained",0.28734552,0.44915956,0.65511157,2020-06-25,0.36103358,2020,"0.46707587","0.202835637",0.6725,0.6725,0.278,0.31,2720,1.1,0.58,0.6,1.81,1,1.63,0.86,32,0.98,51.94,112,0.79,104.58,5,59,50,35.75,75,75,"Arid","NO","NO","NO","YES","",0.58,1.81,1.63,32,112,"San Diego","Mission Bay and San Diego River","San Diego",c(-117.16044, 32.76768),0.999409664355147,0.547078997239271,0.999732624587768,"Impacted for CSCI and ASCI","Severe","Moderate","Severe","Stressed by chemistry degradation","Impacted and stressed",TRUE
"36","902M20301","San Diego",902,"Northern San Diego","Open","22548449","SC","possibly unconstrained",0.55958158,0.8144119,0.98487711,2020-06-24,0.83320275,2020,"0.761591258556384","0.764715253475051",0.8315,0.99,0.02575,0.02575,974,1.24,0.87,0.91,1.69,0.98,1.53,0.81,42,0.96,55.11,155,1,95.12,0,81,72,92,81,75,"Arid","NO","NO","YES","YES","cram_score,cram_bioticstructure,cram_bufferandladscapecontext,cram_hydrology,cram_physicalstructure",0.87,1.69,1.53,42,155,"San Diego","Northern San Diego","San Diego",c(-117.20464, 33.42381),0.735273799597465,0.347976190965644,0.827392214462347,"Impacted for ASCI","Moderate","Moderate","Moderate","Low stress","Impacted by unknown stress",TRUE
"37","903M20296","San Diego",903,"Northern San Diego","Agricultural","20342491","SC","possibly constrained",0.43920817,0.632557,0.84625672,2020-06-23,0.66523032,2020,"0.392000961","0.367984116",4.0095,4.0095,0.167,0.17,2580,0.91,0.35,0.35,1.3,0.73,1.21,0.64,81,0.42,51.56,169,1,106.48,0,79,77.78,100,75,62.5,"Arid","NO","NO","NO","YES","",0.35,1.3,1.21,81,169,"San Diego","Northern San Diego","San Diego",c(-117.19799, 33.30925),0.999274506939501,0.827635496384642,0.999874950748751,"Impacted for CSCI and ASCI","Severe","Moderate","Severe","Stressed by chemistry degradation","Impacted and stressed",TRUE
"38","402M00130","Ventura",402,"Ventura","Urban","17586974","SC","possibly constrained",0.28790322,0.60826707,0.88112142,2020-06-18,0.88723256,2020,"0.473969021","0.431911729",1.1,1.1,0.11,0.11,1271,1.13,0.86,0.9,1.57,0.94,1.88,0.99,37,0.7,29.66,104,0.82,90.92,0,77,63.89,93.29,75,75,"Arid","NO","NO","NO","YES","",0.86,1.57,1.88,37,104,"Ventura","Ventura","Los Angeles",c(-119.30314, 34.30178),0.958385407227604,0.727816308704989,0.988673186527471,"Impacted for ASCI","Severe","Moderate","Severe","Stressed by chemistry degradation","Impacted and stressed",TRUE
"39","408M03143","Ventura",408,"Calleguas","Urban","948070332","SC",NA,NA,NA,NA,2020-06-17,0.73435153,2020,"0.44798457","0.492517254",4.4,4.4,0.09,0.09,1500,0.93,0.41,0.42,1.63,0.87,1.76,0.93,47,0.83,49.51,105,0.6,130.11,0,52,55.56,34.17,66.67,50,"Arid","NO","NO","NO","YES","",0.41,1.63,1.76,47,105,"Ventura","Calleguas","Los Angeles",c(-118.95714, 34.16891),0.982343403033351,0.84713584350413,0.997300939198106,"Impacted for CSCI and ASCI","Severe","Moderate","Severe","Stressed by chemistry degradation","Impacted and stressed",TRUE
"40","403M01629","Ventura",403,"Santa Clara","Agricultural","17572895","SC","possibly unconstrained",0.56877907,0.79672642,0.99418577,2020-06-15,0.83371596,2020,"0.785290039","0.830615256",0,0,0.049,0.049,897,0.73,0.8,0.84,0.97,0.5,1.34,0.71,40,0.53,18.93,31,0.38,94.74,0,67,50,78.5,75,62.5,"Arid","NO","NO","NO","YES","",0.8,0.97,1.34,40,31,"Ventura","Santa Clara","Los Angeles",c(-119.0707, 34.38748),0.621048535686039,0.891431376519223,0.958857761153408,"Healthy","Moderate","Moderate","Severe","Stressed by low levels of chemistry or habitat degradation","Healthy and resilient",TRUE
